,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Simple_Date
0,Indiaroba,-11.5192,-37.5117,72.45,91,90,3.85,BR,1634528750,2021-10-18
1,Hobart,-42.8794,147.3294,63.01,71,75,1.01,AU,1634528664,2021-10-18
2,Bredasdorp,-34.5322,20.0403,47.14,73,9,3.53,ZA,1634528753,2021-10-18
3,Georgetown,6.8045,-58.1553,75.49,83,67,7.11,GY,1634528755,2021-10-18
4,Atambua,-9.1061,124.8925,88.09,55,36,6.42,ID,1634528758,2021-10-18
5,Punta Arenas,-53.15,-70.9167,48.31,76,0,28.77,CL,1634528759,2021-10-18
6,Siyabuswa,-25.1132,29.0445,64.51,71,100,6.73,ZA,1634528761,2021-10-18
7,Walvis Bay,-22.9575,14.5053,54.09,87,1,11.5,NA,1634528764,2021-10-18
8,Hirado,33.3597,129.5531,69.15,54,97,12.15,JP,1634528671,2021-10-18
9,Ushuaia,-54.8,-68.3,47.86,66,20,11.5,AR,1634528757,2021-10-18
10,Comodoro Rivadavia,-45.8667,-67.5,55.26,47,0,12.66,AR,1634528767,2021-10-18
11,Carnarvon,-24.8667,113.6333,75.27,38,8,9.22,AU,1634528701,2021-10-18
12,Albany,42.6526,-73.7562,52.18,82,75,1.99,US,1634528771,2021-10-18
13,Marabba,12.35,32.1833,80.76,48,1,6.26,SD,1634528773,2021-10-18
14,West Bay,19.3667,-81.4167,82.99,80,20,5.75,KY,1634528775,2021-10-18
15,Kapaa,22.0752,-159.319,80.58,81,75,1.99,US,1634528777,2021-10-18
16,Butaritari,3.0707,172.7902,81.82,71,22,10.02,KI,1634528780,2021-10-18
17,Egvekinot,66.3167,-179.1667,15.55,77,100,5.95,RU,1634528782,2021-10-18
18,Pevek,69.7008,170.3133,5.88,98,97,4.52,RU,1634528784,2021-10-18
19,Atasu,48.6814,71.6433,45.48,36,2,8.55,KZ,1634528786,2021-10-18
20,Olinda,-8.0089,-34.8553,80.33,74,40,8.05,BR,1634528787,2021-10-18
21,New Norfolk,-42.7826,147.0587,62.65,48,97,4.0,AU,1634528789,2021-10-18
22,Rikitea,-23.1203,-134.9692,75.58,76,7,15.88,PF,1634528790,2021-10-18
23,Guerrero Negro,27.9769,-114.0611,68.16,75,100,10.76,MX,1634528793,2021-10-18
24,Torbay,47.6666,-52.7314,44.58,97,90,3.44,CA,1634528794,2021-10-18
25,Hermanus,-34.4187,19.2345,51.91,70,1,6.35,ZA,1634528796,2021-10-18
26,Atuona,-9.8,-139.0333,78.03,77,88,19.66,PF,1634528802,2021-10-18
27,Savannah Bight,16.45,-85.85,78.01,72,93,6.55,HN,1634528804,2021-10-18
28,Tarbes,43.2333,0.0833,54.43,87,0,6.91,FR,1634528805,2021-10-18
29,Busselton,-33.65,115.3333,71.04,69,22,14.38,AU,1634528807,2021-10-18
30,Luderitz,-26.6481,15.1594,61.88,36,44,13.8,NA,1634528808,2021-10-18
31,Arraial do Cabo,-22.9661,-42.0278,69.64,86,100,3.47,BR,1634528811,2021-10-18
32,Qaanaaq,77.484,-69.3632,24.1,68,100,12.55,GL,1634528813,2021-10-18
33,Touros,-5.1989,-35.4608,76.1,80,48,11.54,BR,1634528816,2021-10-18
34,Te Anau,-45.4167,167.7167,61.05,49,9,6.31,NZ,1634528818,2021-10-18
35,Skagen,57.7209,10.5839,43.09,51,22,4.79,DK,1634528819,2021-10-18
36,Jamestown,42.097,-79.2353,53.51,90,90,3.0,US,1634528821,2021-10-18
37,Labuhan,-6.8844,112.2051,88.99,60,78,11.01,ID,1634528823,2021-10-18
38,Saldanha,-33.0117,17.9442,46.45,71,0,14.99,ZA,1634528824,2021-10-18
39,Barrow,71.2906,-156.7887,21.22,68,90,0.0,US,1634528826,2021-10-18
